type,edftype,latency,urevent,duration,endtime,sac_amplitude,sac_endpos_x,sac_endpos_y,sac_startpos_x,sac_startpos_y,sac_vmax,fix_avgpos_x,fix_avgpos_y,fix_avgpupilsize,sac_angle,trial,phase,mss,ontarget,ondistractor,present,correct,stm,inrange,bad,multi,rank,refix,scrank
fixation,0.0,95781.0,21352.0,122,0.0,0.372673082560072,1228.44458007812,437.238311767578,1239.51232910156,461.147827148438,38.8228695750486,1207.01879882812,440.619964599609,0.0,-117.095188591491,6.0,vs,1.0,False,True,False,False,teddy bear555.png,True,False,2.0,17.0,0.0,0.8421052631578947
fixation,0.0,95930.0,21353.0,71,0.0,3.84653701348877,1247.33227539062,250.713806152344,1205.67797851562,454.622406005859,178.401782104934,1245.38208007812,230.154907226562,0.0,-78.2968353616873,6.0,vs,1.0,False,True,False,False,teddy bear532.png,True,False,0.0,18.0,2.0,0.8947368421052632
fixation,0.0,96078.0,21355.0,117,0.0,2.05605055230716,425.911804199219,801.905517578125,459.806121826172,696.455871582031,175.688490393375,392.708801269531,805.914794921875,0.0,107.309195471719,6.0,vs,1.0,False,True,False,False,teddy bear513.png,True,False,0.0,20.0,0.0,1.0
fixation,0.0,98818.0,21367.0,64,0.0,4.02301590533447,1171.87194824219,516.814575195312,954.545654296875,486.321258544922,199.700613726639,1170.92724609375,513.438781738281,0.0,8.11165645548585,7.0,vs,0.0,False,True,False,False,sheep339.png,True,False,0.0,1.0,0.0,0.0
fixation,0.0,98900.0,21368.0,155,0.0,4.46104032682453,1296.85559082031,310.962005615234,1167.86083984375,521.660766601562,192.454068317247,1292.09643554688,299.8388671875,0.0,-58.8050944689976,7.0,vs,0.0,False,True,False,False,sheep349.png,True,False,0.0,2.0,1.0,0.05263157894736842
fixation,0.0,99075.0,21369.0,197,0.0,8.56585554749014,861.877990722656,526.51123046875,1279.41125488281,312.827606201172,385.548655776803,839.509338378906,506.052581787109,0.0,153.210578826392,7.0,vs,0.0,False,True,False,False,sheep263.png,True,False,0.0,3.0,1.0,0.10526315789473684
fixation,0.0,99300.0,21370.0,89,0.0,10.7646676696777,1173.68481445312,971.79150390625,821.577087402344,498.276092529297,459.428739264481,1179.69445800781,975.559509277344,0.0,53.0549970196914,7.0,vs,0.0,False,True,False,False,sheep356.png,True,False,1.0,4.0,0.0,0.15789473684210525
fixation,0.0,99398.0,21371.0,69,0.0,0.664480998901434,1147.521484375,970.613037109375,1186.65161132812,978.184997558594,50.6233137720078,1153.80078125,975.399353027344,0.0,-170.117356110176,7.0,vs,0.0,False,True,False,False,sheep356.png,True,False,2.0,5.0,0.0,0.21052631578947367
fixation,0.0,99498.0,21372.0,85,0.0,14.8252145090968,1230.13818359375,165.51025390625,1163.00561523438,974.105590820312,425.862879685174,1209.9248046875,169.92724609375,0.0,-85.1807300249755,7.0,vs,0.0,False,True,False,False,sheep485.png,True,False,1.0,6.0,0.0,0.2631578947368421
fixation,0.0,99595.0,21373.0,66,0.0,1.46518869890845,1158.93798828125,77.5493087768555,1194.42797851562,155.473876953125,87.1428625387452,1145.79809570312,75.1828384399414,0.0,-114.835974601986,7.0,vs,0.0,False,True,False,False,sheep485.png,True,False,2.0,7.0,0.0,0.3157894736842105
fixation,0.0,99689.0,21374.0,79,0.0,4.57364112188721,1379.7939453125,63.4268531799316,1133.53784179688,75.8028717041016,236.011842753025,1398.77734375,56.7946014404297,0.0,-2.9552527394655,7.0,vs,0.0,False,True,False,False,sheep482.png,True,False,0.0,8.0,0.0,0.3684210526315789
fixation,0.0,99792.0,21375.0,67,0.0,4.49399434228175,1307.57214355469,302.724731445312,1404.55065917969,76.7958526611328,332.459224048313,1296.46887207031,314.687408447266,0.0,113.806433613666,7.0,vs,0.0,False,True,False,False,sheep349.png,True,False,1.0,9.0,2.0,0.42105263157894735
